text,label,generated_label,match,elapsed_time
매핑 그리드도 표시해,"camera_live_action(""display_mapping_grid"")","display_mapping_grid
camera_live_action(""zoom_in"")
camera_live_action(""display_mapping_grid"")",0,0.99627
오프셋 보여줘,"camera_live_action(""display_offset"")",display_offset,0,0.09355
오프셋 보여줘,"camera_live_action(""display_offset"")",display_offset,0,0.09234
오프셋 보여줘,"camera_live_action(""display_offset"")",display_offset,0,0.09404
창 최대화 해줘,"camera_live_action(""maximize_window"")","open_monitor_window()
maximize_window()",0,0.358
카메라 창 최대화 해줘,"camera_live_action(""maximize_window"")","open_monitor_window()
maximize_window()",0,0.36969
카메라 확대 초기화 해줘,"camera_live_action(""reset_zoom"")","camera_live_action(""zoom_in"")
camera_live_action(""reset_zoom"")",0,0.49824
라이브 줌 리셋,"camera_live_action(""reset_zoom"")","camera_live_action(""reset_zoom"")",1,0.21693
카메라 화면 저장해,"camera_live_action(""save_image"")","camera_live_action(""save_image"")",1,0.22783
카메라 스크린샷 하자,"camera_live_action(""save_image"")","camera_live_action(""save_image"")",1,0.22419
라이브 저장,"camera_live_action(""save_image"")","camera_live_action(""save_image"")",1,0.22656
히스토그램 띄워,"camera_live_action(""show_gray_histogram"")","camera_live_action(""show_gray_histogram"")",1,0.30378
라이브 카메라에 히스토그램 띄워,"camera_live_action(""show_gray_histogram"")","camera_live_action(""show_gray_histogram"")",1,0.28844
히스토그램 띄워,"camera_live_action(""show_gray_histogram"")","camera_live_action(""show_gray_histogram"")",1,0.29044
히스토그램 표시해줘,"camera_live_action(""show_gray_histogram"")","camera_live_action(""show_gray_histogram"")",1,0.31163
카메라 라이브 시작해,"camera_live_action(""start"")","camera_live_action(""start"")",1,0.18611
카메라 라이브 시작해,"camera_live_action(""start"")","camera_live_action(""start"")",1,0.18103
라이브 멈춰,"camera_live_action(""stop"")","camera_live_action(""stop"")",1,0.17426
라이브 멈춰,"camera_live_action(""stop"")","camera_live_action(""stop"")",1,0.18126
라이브 정지,"camera_live_action(""stop"")","camera_live_action(""stop"")",1,0.17561
십자선 표시해줘,"camera_live_action(""toggle_reticle"")","camera_live_action(""toggle_reticle"")",1,0.24583
라이브 카메라에 십자선 표시해줘,"camera_live_action(""toggle_reticle"")","camera_live_action(""toggle_reticle"")",1,0.24555
카메라 십자선 표시,"camera_live_action(""toggle_reticle"")","camera_live_action(""toggle_reticle"")",1,0.24641
십자선 켜,"camera_live_action(""toggle_reticle"")","toggle_camera_live(""Side"", True)",0,0.23026
카메라 축소 해줘,"camera_live_action(""zoom_in"")","camera_live_action(""zoom_in"")",1,0.2417
카메라 라이브 확대해줘,"camera_live_action(""zoom_in"")","camera_live_action(""zoom_in"")",1,0.24321
라이브 줌인 해줘,"camera_live_action(""zoom_in"")","camera_live_action(""zoom_in"")",1,0.22446
라이브 줌아웃 해줘,"camera_live_action(""zoom_out"")","camera_live_action(""zoom_out"")",1,0.22205
카메라 창 최대화 해줘,camera_live_action(maximize_window),"open_monitor_window()
maximize_window()",0,0.32985
지금 창 닫아줘,close_window(),close_window(),1,0.10982
이 창 종료해,close_window(),close_window(),1,0.10885
모든 창 닫아,close_window(),close_window(),1,0.11085
현재 창을 꺼,close_window(),close_window(),1,0.10971
현재 창 닫아줘,close_window(),close_window(),1,0.1096
지금 창 닫아,close_window(),close_window(),1,0.11108
3 Point Calibration 설정 띄워줘,"open_calibration(""3 Point Calibration"")","open_calibration(""3 Point Calibration"")",1,0.19129
3 Point Calibration 설정 띄워줘,"open_calibration(""3 Point Calibration"")","open_calibration(""3 Point Calibration"")",1,0.1937
3 포인트 캘리브레이션 설정할래,"open_calibration(""3 Point Calibration"")","open_calibration(""3 Point Calibration"")",1,0.20109
Bottom Jig 정렬 해줘,"open_calibration(""Bottom Jig Calibration"")","open_settings(""bottom_jig_alignment"")",0,0.22538
Bottom Jig 캘리브 해줘,"open_calibration(""Bottom Jig Calibration"")","open_calibration(""Bottom Jig Calibration"")",1,0.23141
Pad Pitch 보정 바꿔,"open_calibration(""Pad Pitch Calibration"")","open_calibration(""Pad Pitch Calibration"")",1,0.19176
Pad Pitch 보정 켜줘,"open_calibration(""Pad Pitch Calibration"")","open_calibration(""Pad Pitch Calibration"")",1,0.19852
패드 간격 설정 열어줘,"open_calibration(""Pad Pitch Calibration"")","open_calibration(""Pad Pitch Calibration"")",1,0.20559
Top Jig 캘리브레이션 열어,"open_calibration(""Top Jig Calibration"")","open_calibration(""Top Jig Calibration"")",1,0.22004
탑 지그 캘리브레이션 열어,"open_calibration(""Top Jig Calibration"")","open_calibration(""Top Jig Calibration"")",1,0.22657
검사 기록 창 열어줘,open_history_window(),open_history_window(),1,0.16046
히스토리 보여줘,open_history_window(),open_history_window(),1,0.14638
기록창 켜,open_history_window(),open_history_window(),1,0.1444
검사 이력 봐볼래,open_history_window(),open_history_window(),1,0.16182
검사 기록 창 열어줘,open_history_window(),open_history_window(),1,0.14778
히스토리 보여줘,open_history_window(),open_history_window(),1,0.15351
기록창 켜,open_history_window(),open_history_window(),1,0.15434
검사 이력 봐볼래,open_history_window(),open_history_window(),1,0.15138
검사 기록창 열어줘,open_history_window(),open_history_window(),1,0.15357
검사 기록창 열어,open_history_window(),open_history_window(),1,0.14324
조명 설정 열어,open_light_window(),open_light_window(),1,0.15062
라이트 설정 보고싶어,open_light_window(),open_light_window(),1,0.14645
조명 창 띄워줘,open_light_window(),open_light_window(),1,0.14505
조명값 조정하고 싶어,open_light_window(),open_light_window(),1,0.15144
조명 설정 열어,open_light_window(),open_light_window(),1,0.14507
라이트 설정창 켜,open_light_window(),open_light_window(),1,0.14985
조명 창 띄워줘,open_light_window(),open_light_window(),1,0.15664
조명값 조정하고 싶어,open_light_window(),open_light_window(),1,0.15033
조명 설정 켜줘,open_light_window(),open_light_window(),1,0.14602
조명 설정 보고 싶어,open_light_window(),open_light_window(),1,0.16129
모니터링 창 보여줘,open_monitor_window(),open_monitor_window(),1,0.14549
시스템 모니터링 하고싶어,open_monitor_window(),open_monitor_window(),1,0.14916
상태창 띄워줘,open_monitor_window(),open_monitor_window(),1,0.14577
모니터링 창 보여줘,open_monitor_window(),open_monitor_window(),1,0.14323
시스템 상태 보고싶어,open_monitor_window(),open_monitor_window(),1,0.15186
모니터 열어줘,open_monitor_window(),open_monitor_window(),1,0.14973
상태창 띄워줘,open_monitor_window(),open_monitor_window(),1,0.15364
시스템 모니터 열어줘,open_monitor_window(),open_monitor_window(),1,0.16353
모니터 창 켜 줘,open_monitor_window(),open_monitor_window(),1,0.14966
이미지 자동삭제 주기 바꿔,"open_settings(""change_auto_delete_period"")","change_image_save_mode(""auto_delete_period_10"")",0,0.32543
이미지 저장 방식 바꿔줘,"open_settings(""change_image_save_mode"")","change_image_save_mode(""NewMode"")",0,0.235
이미지 저장 방식 바꾸자,"open_settings(""change_image_save_mode"")","open_settings(""change_image_save_mode"")",1,0.29107
레시피 변경할래,"open_settings(""change_recipe"")","open_settings(""change_recipe"")",1,0.19561
레시피 바꾸자,"open_settings(""change_recipe"")","open_settings(""change_recipe"")",1,0.19858
검사 결과 색상 바꾸고 싶어,"open_settings(""change_result_color"")","open_settings(""change_result_color"")",1,0.24869
결과 색상 바꾸자,"open_settings(""change_result_color"")",change_result_color,0,0.12917
허용 오차 변경해줘,"open_settings(""change_tolerance"")",change_tolerance,0,0.12581
