text,label,cnum
지금 창 닫아줘,close_window(),0
PRS 카메라 라이브 켜줘,"toggle_camera_live(""PRS"", True)",0
히스토리 보여줘,open_history_window(),0
영어로 검사 모드가 뭐야?,NO_FUNCTION,1
모든 창 닫아,close_window(),0
라이브 정지,"camera_live_action(""stop"")",0
Pad Pitch 보정 열고 검사 모드로 바꿔줘,"open_calibration(""Pad Pitch Calibration"")
switch_mode(""RUN"")",2
요즘 주식 어때?,NO_FUNCTION,1
Mapping 카메라 라이브 끄고 오프셋 표시해줘,"toggle_camera_live(""Mapping"", False)
camera_live_action(""display_offset"")",2
카메라 십자선 표시,"camera_live_action(""toggle_reticle"")",0
감자랑 고구마 중 뭐가 좋아?,NO_FUNCTION,1
테이블 정보 입력,"open_settings(""set_table_info"")",0
레시피 복사하자,"open_settings(""copy_recipe"")",0
좋아하는 색 있어?,NO_FUNCTION,1
레시피 바꾸고 자동 삭제 주기도 설정해줘,"open_settings(""change_recipe"")
change_settings(""change_auto_delete_period"")",2
시스템 상태 보고싶어,open_monitor_window(),0
검사 이력 봐볼래,open_history_window(),0
이 시스템 말고 다른 것도 있어?,NO_FUNCTION,1
창 최대화 해줘,"camera_live_action(""maximize_window"")",0
설정창 닫고 히스토리 창 열어줘,"close_window()
open_history_window()",2
맵핑 화면 켜줘,"toggle_camera_live(""Mapping"", True)",0
Top Jig 캘리브레이션 열어,"open_calibration(""Top Jig Calibration"")",0
라이브 저장,"camera_live_action(""save_image"")",0
책 추천해줘,NO_FUNCTION,1
SETUP 모드로 변경해줘,"switch_mode(""SETUP"")",0
히스토그램 띄워,"camera_live_action(""show_gray_histogram"")",0
넷플릭스 추천해줘,NO_FUNCTION,1
설정 모드로 바꾸고 BGA 티칭창 열어줘,"switch_mode(""SETUP"")
open_teaching_window(""BGA"")",2
매핑 그리드도 표시해,"camera_live_action(""display_mapping_grid"")",0
바코드 카메라 켜고 이미지 저장해,"toggle_camera_live(""BarCode"", True)
camera_live_action(""save_image"")",2
검사 모드를 AllPass로 바꾸고 싶어,"open_settings(""switch_inspection_mode"")",0
LGA 티칭창 열고 허용 오차 바꿔줘,"open_teaching_window(""LGA"")
open_settings(""change_tolerance"")",2
카메라 라이브 시작해,"camera_live_action(""start"")",0
십자선 표시해줘,"camera_live_action(""toggle_reticle"")",0
Mapping 화면 꺼줘,"toggle_camera_live(""Mapping"", False)",0
오프셋 보여줘,"camera_live_action(""display_offset"")",0
검사 기록창 열어줘,open_history_window(),0
카메라 확대 초기화 해줘,"camera_live_action(""reset_zoom"")",0
점심 뭐 먹었어?,NO_FUNCTION,1
세팅 카메라 열고 십자선 표시도 해줘,"camera_live_action(""toggle_reticle"")
toggle_camera_live(""Setting X1"", True)",2
