id ,text,label,index,description,
1,스트립 화면 열기,/windows/teaching/strip,1,,
2,Strip 티칭 켜줘,/windows/teaching/strip,1,,
3,스트립 티칭 열어,/windows/teaching/strip,1,,
4,Strip 창 띄워,/windows/teaching/strip,1,,
5,스트립 교정 시작,/windows/teaching/strip,1,,
6,스트립 티칭 창 열어줘 ,/windows/teaching/strip,1,스트립 티칭 창 열기,
7,strip 티칭 띄워 ,/windows/teaching/strip,1,strip 창 열기,
8,Strip 티칭 창 열어 ,/windows/teaching/strip,1,Strip 티칭 창 열기,
9,Strip 교정 시작 ,/windows/teaching/strip,1,Strip 티칭 교정 시작,
10,Strip 창 켜. ,/windows/teaching/strip,1,,
11,Strip 창 보여줘. ,/windows/teaching/strip,1,,
12,티칭창 STRIP 실행,/windows/teaching/strip,1,,
13,teaching STRIP,/windows/teaching/strip,1,,
14,STRIP 유형 자재 티칭창 켜줘,/windows/teaching/strip,1,,
15,스트립 티칭 창 활성화,/windows/teaching/strip,1,,
16,strip 창,/windows/teaching/strip,1,,
17,Strip 티칭 창,/windows/teaching/strip,1,,
18,스트립 티칭 창,/windows/teaching/strip,1,,
19,QFN 화면 열어,/windows/teaching/qfn,1,,
20,QFN 창 켜줘,/windows/teaching/qfn,1,,
21,QFN 티칭 열어,/windows/teaching/qfn,1,,
22,QFN 작업창 띄워,/windows/teaching/qfn,1,,
23,QFN 티칭 열기 ,/windows/teaching/qfn,1,QFN 티칭 창 열기,
24,QFN 창 보여줘 ,/windows/teaching/qfn,1,QFN 창 열기,
25,QFN 티칭 창 열기 ,/windows/teaching/qfn,1,QFN 티칭 창 열기,
26,QFN 작업창 화면 ,/windows/teaching/qfn,1,QFN 작업창 열기,
27,QFN 창 보여줘. ,/windows/teaching/qfn,1,,
28,QFN 티칭 켜. ,/windows/teaching/qfn,1,,
29,티칭창 QFN 실행,/windows/teaching/qfn,1,,
30,teaching QFN,/windows/teaching/qfn,1,,
31,QFN 유형 자재 티칭창 켜줘,/windows/teaching/qfn,1,,
32,qfn 티칭 창 활성화,/windows/teaching/qfn,1,,
33,qfn 창,/windows/teaching/qfn,1,,
34,QFN teacing 열어,/windows/teaching/qfn,1,,
35,QFN teacing 켜,/windows/teaching/qfn,1,QFN 티칭 창 열기,
36,QC 창 열기,/windows/teaching/qc,1,,
37,QC 티칭 열어줘,/windows/teaching/qc,1,,
38,QC 교정창 띄워,/windows/teaching/qc,1,,
39,QC 창 띄워줘 ,/windows/teaching/qc,1,QC 창 열기,
40,QC 티칭 부분 열기 ,/windows/teaching/qc,1,QC 티칭 창 열기,
41,QC 창 켜. ,/windows/teaching/qc,1,,
42,QC 티칭 보여줘. ,/windows/teaching/qc,1,,
43,qc 티칭 창 활성화,/windows/teaching/qc,1,,
44,qc 창,/windows/teaching/qc,1,,
45,PRS 결과 재티칭,/windows/teaching/prs/reteach,1,,
46,PRS 창 재실행,/windows/teaching/prs/reteach,1,,
47,PRS 재작업 실행,/windows/teaching/prs/reteach,1,,
48,PRS 재티칭 화면 열기 ,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 화면,
49,PRS 재티칭 실행 ,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 실행,
50,PRS 창 다시 실행,/windows/teaching/prs/reteach,1,,
51,PRS 티칭 다시 시작해,/windows/teaching/prs/reteach,1,PRS 결과 기반 재티칭 실행,
52,PRS reteaching 해,/windows/teaching/prs/reteach,1,,
53,매핑 재티칭 시작,/windows/teaching/mapping/reteach,1,,
54,맵핑 리티칭 실행,/windows/teaching/mapping/reteach,1,,
55,매핑 샷 재활성화,/windows/teaching/mapping/reteach,1,,
56,맵핑 다시 티칭,/windows/teaching/mapping/reteach,1,,
57,맵핑 재티칭 창 열어줘 ,/windows/teaching/mapping/reteach,1,맵핑 샷 기반 재티칭 창 열기,
58,Mapping 재티칭 실행 ,/windows/teaching/mapping/reteach,1,Mapping 샷 기반 재티칭 실행,
59,매핑 reteaching 해줘,/windows/teaching/mapping/reteach,1,,
60,mapping reteach 시작,/windows/teaching/mapping/reteach,1,,
61,매핑 샷 기반 재티칭 창 열어주세요,/windows/teaching/mapping/reteach,1,현재 매핑 샷 기반 재티칭 창 열기,
62,매핑 재티칭 창 띄워줘,/windows/teaching/mapping/reteach,1,매핑 재티칭 창 열기,
63,매핑 재티칭 창 열기,/windows/teaching/mapping/reteach,1,매핑 샷 기반 재티칭 창 열기,
64,매핑 재티칭 화면 보여줘,/windows/teaching/mapping/reteach,1,매핑 재티칭 화면 표시,
65,매핑 샷 재티칭 페이지로,/windows/teaching/mapping/reteach,1,매핑 재티칭 페이지 이동,
66,맵핑 윈도우 열기,/windows/teaching/mapping,1,,
67,매핑 티칭 열어,/windows/teaching/mapping,1,,
68,매핑 작업 시작,/windows/teaching/mapping,1,,
69,맵핑 창 열어 ,/windows/teaching/mapping,1,맵핑 티칭 창 열기,
70,맵핑 창 띄워줘 ,/windows/teaching/mapping,1,맵핑 창 열기,
71,Mapping 티칭 창 열기 ,/windows/teaching/mapping,1,Mapping 티칭 창 열기,
72,맵핑 창 보여줘. ,/windows/teaching/mapping,1,,
73,맵핑 창 열어 줘. ,/windows/teaching/mapping,1,,
74,맵핑 티칭 실행! ,/windows/teaching/mapping,1,,
75,티칭창 매핑 실행,/windows/teaching/mapping,1,,
76,teaching mapping,/windows/teaching/mapping,1,,
77,매핑 유형 자재 티칭창 켜줘,/windows/teaching/mapping,1,,
78,teaching mapping 시작해줘,/windows/teaching/mapping,1,,
79,매핑 유형 자재 창 보여줘,/windows/teaching/mapping,1,,
80,MAPPING 티칭 창 열어줘,/windows/teaching/mapping,1,MAPPING 티칭 창 열기,
